==============================
P(D0): 
({x0}, (0.01502, 0.01289, 0.02251, 0.003097, 0.02698, 0.002479, 0.01964, 0.01806, 0.01774, 0.03582, 0.02064, 0.03276, 0.007557, 0.01261, 0.03537, 0.03951, 0.006885, 0.03362, 0.01993, 0.001528, 0.03651, 0.00285, 0.006041, 0.02335, 0.001877, 0.02597, 0.01849, 0.03964, 0.02464, 0.03878, 0.02728, 0.0326, 0.02513, 0.01313, 0.005553, 0.02454, 0.03789, 0.01813, 0.02841, 0.03011, 0.005239, 0.003414, 0.03032, 0.01283, 0.00448, 0.02587, 0.01689, 0.03555, 0.001398, 0.01846))

P(A0): 
({x1}, (0.2277, 0.6804, 0.09188))
==============================
P(Dt|At,Dt-1 = 0): 
0.01822 0.006873 0.01796 
0.01278 0.01426 0.02795 
0.01704 0.03056 0.002218 
0.008061 0.002951 0.02417 

P(Dt|At,Dt-1 = 1): 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 2): 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 3): 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 4): 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 5): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 6): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 7): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 8): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 9): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 10): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 11): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 12): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 13): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 14): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 15): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 16): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 17): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 18): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 19): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 20): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 21): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 22): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 23): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 24): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 25): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 26): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 27): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 28): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 29): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     1      1      1 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 

P(Dt|At,Dt-1 = 30): 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
     0      0      0 
