==============================
P(D0): 
({x0}, type:0, size: 100, possibNZ: 0, (0.007056, 0.01603, 0.01399, 0.01088, 0.003369, 0.01824, 0.005054, 0.01761, 0.004263, 0.007116, 0.001667, 0.01219, 0.003441, 0.0008582, 0.01378, 0.006619, 0.01258, 0.007313, 0.01195, 0.0004124, 0.01735, 0.01525, 0.01421, 0.01549, 0.007302, 0.01176, 0.01096, 0.0101, 0.00524, 0.004736, 0.008604, 0.004338, 0.01532, 0.01879, 0.0005714, 0.0102, 0.001659, 0.01528, 0.01884, 0.001275, 0.0179, 0.0003463, 0.01303, 0.01493, 0.01018, 0.01687, 0.01713, 0.01192, 0.002626, 0.004149, 0.00347, 0.0007967, 0.002037, 0.01174, 0.0179, 0.006752, 0.007823, 0.01875, 0.01801, 0.01289, 0.01883, 0.01461, 0.006414, 0.01262, 0.004651, 0.005629, 0.01296, 0.01006, 0.007841, 0.01148, 0.0143, 0.01112, 0.01051, 0.01112, 0.00975, 0.001573, 0.01371, 0.01898, 0.006754, 0.0185, 0.0066, 0.01689, 0.008662, 0.007876, 0.004148, 0.002394, 0.005885, 0.01383, 0.01491, 0.01322, 0.0001867, 0.01606, 0.01757, 0.01469, 0.0008127, 0.007205, 0.01342, 0.0139, 0.004273, 0.005126))

P(A0): 
({x1}, type:0, size: 4, possibNZ: 0, (0.01853, 0.3105, 0.1358, 0.5352))
==============================
P(Dt|At,Dt-1 = 0): 
0.01888 0.005153 0.0002236 0.01744 
0.006362 0.01609 0.01033 0.001897 
0.01626 0.0168 0.001825 0.01513 
0.01435 0.00491 0.002804 0.01182 
0.01852 0.01372 0.01208 0.003911 
0.0006197 0.01535 0.01645 0.02146 
0.006928 0.01024 0.01865 0.0135 
0.01286 0.01514 0.01092 0.01007 
0.005465 0.01617 0.01908 0.02153 
0.004472 0.009408 0.01059  0.015 
0.0138 0.01248 0.009865 0.01033 
0.01212 0.00988 0.006329 0.0192 
0.01147 0.000443 0.00823 0.01218 
0.01282 0.00765 0.009412 0.01266 
0.0009231 0.01107 0.00136 0.01555 
0.006771 0.008929 0.01699 0.008395 
0.008762 0.006378 0.001237 0.005471 
0.004677 0.01605 0.008348 0.01324 
0.01388 0.01421 0.01582 0.01982 
0.01662 0.01455 0.007551 0.0093 
0.005465 0.006382 0.01174 0.002575 
0.01419 0.01016 0.01567 0.01015 
0.002674 0.01495 0.01696 0.006863 
0.01624 0.01599 0.01782 0.009177 
0.002691 0.01145 0.003651 0.01905 
0.01142 0.003542 0.004949 0.009228 
0.007108 0.0112 0.01718 0.00892 
0.01566 0.001234 0.01136 0.008241 
0.00978 0.006968 0.009643 0.003207 
0.009504 0.01143 0.01173 0.005947 
0.01703  0.016 0.01568 0.001985 
0.006855 0.01389 0.01018 0.009817 
0.008725 0.008301 0.003867 0.005882 
0.0187 0.01296 0.008687 0.006803 
0.0008211 0.007144 0.00819 0.009713 
0.01889 0.01665 0.01849 0.002725 
0.003673 0.01693 0.01187 0.01132 
0.01295 0.0148 0.01331 0.01615 
0.01138 0.006662 0.01378 0.005569 
0.01311 0.00779 0.006639 0.01795 
0.007008 0.004226 0.009894 0.001694 
0.01204 0.01344 0.01065 0.009005 
0.01575 0.01512 0.002995 7.76e-05 
0.0003738 0.01565 0.01076 0.005045 
0.001628 0.009564 0.0133 2.973e-05 
0.01892 0.01026 0.008162 0.004325 
0.01264 0.00255  0.016 0.003258 
0.004489 0.01541  0.014 0.006129 
0.007833 0.007716 0.00689 0.003998 
0.002369 0.003523 0.008693 0.00317 
0.005211 0.01541 0.007395 0.01369 
0.005005 0.01306 0.01484 0.0206 
0.006438 0.01512 0.01405 0.02148 
0.002955 0.004881 0.008235 0.005057 
0.006756 0.01153 0.01328 0.01103 
0.002362 0.01138 0.01809 0.008596 

==============================
P(At|At-1,Dt-1 = 0): 
     0 0.09429 0.1383 0.1626 
 0.357      0 0.2337  0.754 
0.4663 0.4083      0 0.08339 
0.1768 0.4975  0.628      0 

================================
P(Ot|At = ): 
 0.09901   0.1075    0.135  0.03855 
 0.05007  0.09821   0.1349  0.06611 
 0.01292  0.08408  0.08776  0.08294 
 0.08248   0.0332  0.04933   0.1127 
 0.03286   0.1176   0.1265  0.01001 
0.004935  0.03471  0.06563   0.1135 
  0.1805  0.05646   0.1342  0.05644 
  0.0814   0.1356 0.004922   0.0496 
  0.1818   0.1304  0.07898  0.04994 
  0.1441  0.06126   0.1063  0.03166 
0.001389  0.04841   0.0266   0.1964 
  0.1286  0.09265  0.04992   0.1922 
================================
